Plant,Created on,Inspection Lot,Material,Material Description,Batch,Date of Manufacture,Inspection Type,Insp. Lot Quantity,Base unit of measure,Order,SLED/BBD,Material to Which the Quantity is Posted,UD code,Movement Type,Material Document,Short text for the characteristic,Upper tol. limit,Lower tolerance limit,Int. unit/measure.,Original Value,InfoField2
RB11,07-07-18,40000050432,RKOSBBSA4-DR000080,STARBOND-BSA 4,CG8040,07-07-18,Z04,0.000,KG,1023738,03-01-19,Usage decision has been made,A,101,5000233678,Non Volatile Content,34,31,%,32.9,1.5g./150oC/30min
RB11,07-07-18,40000050432,RKOSBBSA4-DR000080,STARBOND-BSA 4,CG8040,07-07-18,Z04,"1,040.000",KG,1023738,03-01-19,Usage decision has been made,A,101,5000233678,Viscosity,120,60,Poise,86.3,"30oC,Viscometer"
RB11,07-07-18,40000050433,RKOSBBSA4-DR000080,STARBOND-BSA 4,CG8040,07-07-18,Z04,0.000,KG,1023738,03-01-19,Usage decision has been made,A,101,5000233678,Non Volatile Content,34,31,%,32.9,1.5g./150oC/30min
RB11,07-07-18,40000050433,RKOSBBSA4-DR000080,STARBOND-BSA 4,CG8040,07-07-18,Z04,40.000,KG,1023738,03-01-19,Usage decision has been made,A,101,5000233678,Viscosity,120,60,Poise,86.3,"30oC,Viscometer"
RB11,07-07-18,40000050435,UGMCM200R-KY000050,COSMONATE M-200,CE8003,22-05-18,Z04,0.000,KG,1023806,22-05-19,Usage decision has been made,A,101,5000233679,NCO Content,32,30,%,31.2,
RB11,07-07-18,40000050435,UGMCM200R-KY000050,COSMONATE M-200,CE8003,22-05-18,Z04,0.000,KG,1023806,22-05-19,Usage decision has been made,A,101,5000233679,Pot Life,350,-999.9,Poise,288,
RB11,07-07-18,40000050435,UGMCM200R-KY000050,COSMONATE M-200,CE8003,22-05-18,Z04,250.000,KG,1023806,22-05-19,Usage decision has been made,A,101,5000233679,Viscosity,300,100,cP,130,"30oC,Viscometer"
RB11,07-07-18,40000050437,UGPPP1693-DR000200,THAMOL PP-1693,CG8001,06-07-18,Z04,0.000,KG,1023830,02-01-19,Usage decision has been made,A,101,5000233680,Specific Gravity,9.999,-9.999,,1.134,20oC
RB11,07-07-18,40000050437,UGPPP1693-DR000200,THAMOL PP-1693,CG8001,06-07-18,Z04,0.000,KG,1023830,02-01-19,Usage decision has been made,A,101,5000233680,Cream Time,99,-99,s,15,
RB11,07-07-18,40000050437,UGPPP1693-DR000200,THAMOL PP-1693,CG8001,06-07-18,Z04,0.000,KG,1023830,02-01-19,Usage decision has been made,A,101,5000233680,Gel Time,999,-999,s,74,
RB11,07-07-18,40000050437,UGPPP1693-DR000200,THAMOL PP-1693,CG8001,06-07-18,Z04,0.000,KG,1023830,02-01-19,Usage decision has been made,A,101,5000233680,Tack Free Time,999,-999,s,130,
RB11,07-07-18,40000050437,UGPPP1693-DR000200,THAMOL PP-1693,CG8001,06-07-18,Z04,0.000,KG,1023830,02-01-19,Usage decision has been made,A,101,5000233680,Free Rise Density,999.9,-999.9,kg/m3,36.9,
RB11,07-07-18,40000050437,UGPPP1693-DR000200,THAMOL PP-1693,CG8001,06-07-18,Z04,458.000,KG,1023830,02-01-19,Usage decision has been made,A,101,5000233680,Viscosity,9999,-9999,mPa.s,1230,20oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,0.000,KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,Barcol Hardness,65,45,,61,25oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,0.000,KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,Specific Gravity,2.02,1.94,,1.96,25oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,0.000,KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,Spiral Flow,400,200,mm,223,140oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,0.000,KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,Bending Modulus,14.7,12.7,Gpa,13.4,25oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,0.000,KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,Gel Time,23,15,s,16,140oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,0.000,KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,Cure Time,30,19,s,21,140oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,0.000,KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,T.Max,180,160,?C,167.2,140oC
RB11,07-07-18,40000050439,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG8071,06-07-18,Z04,"3,907.000",KG,1023761,20-08-18,Usage decision has been made,A,101,5000233681,Shrinkage,0.09,-0.03,%,0.02,25oC
RB11,07-07-18,40000050443,ENR286000-DR000200,U-VAN 28-60,CG8033,06-07-18,Z04,0.000,KG,1023632,02-01-19,Usage decision has been made,A,101,5000233683,Color,29,10,Hz.No.,10,JIS K6901
RB11,07-07-18,40000050443,ENR286000-DR000200,U-VAN 28-60,CG8033,06-07-18,Z04,0.000,KG,1023632,02-01-19,Usage decision has been made,A,101,5000233683,Acid Value,0.9,0,Km/g,0.5,JIS K5407
RB11,07-07-18,40000050443,ENR286000-DR000200,U-VAN 28-60,CG8033,06-07-18,Z04,0.000,KG,1023632,02-01-19,Usage decision has been made,A,101,5000233683,Non Volatile Content,62,58,%,61.2,JIS K5407
RB11,07-07-18,40000050443,ENR286000-DR000200,U-VAN 28-60,CG8033,06-07-18,Z04,0.000,KG,1023632,02-01-19,Usage decision has been made,A,101,5000233683,MS,15,7,ml/g,11.1,20oC
RB11,07-07-18,40000050443,ENR286000-DR000200,U-VAN 28-60,CG8033,06-07-18,Z04,0.000,KG,1023632,02-01-19,Usage decision has been made,A,101,5000233683,Crater,4,0,,0,TMSC(A4 x 2Panel)
RB11,07-07-18,40000050445,ENR286000-DR000200,U-VAN 28-60,CG8032,06-07-18,Z04,0.000,KG,1023631,02-01-19,Usage decision has been made,A,101,5000233684,Color,29,10,Hz.No.,10,JIS K6901
RB11,07-07-18,40000050445,ENR286000-DR000200,U-VAN 28-60,CG8032,06-07-18,Z04,0.000,KG,1023631,02-01-19,Usage decision has been made,A,101,5000233684,Acid Value,0.9,0,Km/g,0.5,JIS K5407
RB11,07-07-18,40000050445,ENR286000-DR000200,U-VAN 28-60,CG8032,06-07-18,Z04,0.000,KG,1023631,02-01-19,Usage decision has been made,A,101,5000233684,Non Volatile Content,62,58,%,61.2,JIS K5407
RB11,07-07-18,40000050445,ENR286000-DR000200,U-VAN 28-60,CG8032,06-07-18,Z04,0.000,KG,1023631,02-01-19,Usage decision has been made,A,101,5000233684,MS,15,7,ml/g,10.8,20oC
RB11,07-07-18,40000050445,ENR286000-DR000200,U-VAN 28-60,CG8032,06-07-18,Z04,0.000,KG,1023631,02-01-19,Usage decision has been made,A,101,5000233684,Crater,4,0,,0,TMSC(A4 x 2Panel)
RB11,07-07-18,40000050450,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Viscosity,99.9,-999,cP,11.2,"30oC,Viscometer"
RB11,07-07-18,40000050450,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Non Volatile Content,46,44,%,44.8,1.5g./150oC/30min
RB11,07-07-18,40000050450,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Specific Gravity,1.14,1.02,,1.079,"30oC,Hydrometer"
RB11,07-07-18,40000050450,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Particle Size,0.28,0.15,Micron,0.222,UV-VIS Spectrophotom
RB11,07-07-18,40000050450,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,ART,210,95,cP,136,30oC
RB11,07-07-18,40000050450,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,"9,400.000",KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,pH,6,4,,5.24,"30oC,pH Meter"
RB11,07-07-18,40000050451,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Viscosity,99.9,-999,cP,11.2,"30oC,Viscometer"
RB11,07-07-18,40000050451,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Non Volatile Content,46,44,%,44.8,1.5g./150oC/30min
RB11,07-07-18,40000050451,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Specific Gravity,1.14,1.02,,1.079,"30oC,Hydrometer"
RB11,07-07-18,40000050451,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,Particle Size,0.28,0.15,Micron,0.222,UV-VIS Spectrophotom
RB11,07-07-18,40000050451,RKA506000-DR000200,ACRYLAX-506,CG8072,07-07-18,Z04,0.000,KG,1023742,03-01-19,Usage decision has been made,A,101,5000233686,ART,210,95,cP,136,30oC
