Plant,Created on,Inspection Lot,Material,Material Description,Batch,Date of Manufacture,Inspection Type,Insp. Lot Quantity,Base unit of measure,Order,SLED/BBD,Material to Which the Quantity is Posted,UD code,Movement Type,Material Document,Short text for the characteristic,Upper tol. limit,Lower tolerance limit,Int. unit/measure.,Original Value,InfoField2
RB11,03-07-18,10000031501,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80410D,12-12-18,Z01,0.000,KG,,11-04-19,Usage decision has been made,A,101,5000233077,Water content,0.1,-999,%,0.0143,Karl Fishcher
RB11,03-07-18,10000031501,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80410D,12-12-18,Z01,0.000,KG,,11-04-19,Usage decision has been made,A,101,5000233077,Refractive index,1.4225,1.4205,,1.4218,25oC
RB11,03-07-18,10000031501,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80410D,12-12-18,Z01,0.000,KG,,11-04-19,Usage decision has been made,A,101,5000233077,Color,15,0,Pt-Co,2.8,Spectrophotometer
RB11,03-07-18,10000031501,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80410D,12-12-18,Z01,"6,300.000",KG,,11-04-19,Usage decision has been made,A,101,5000233077,Specific Gravity,0.897,0.893,,0.89521,20oC
RB11,03-07-18,10000031502,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80525D,04-02-19,Z01,0.000,KG,,04-06-19,Usage decision has been made,A,101,5000233077,Water content,0.1,-999,%,0.0138,Karl Fishcher
RB11,03-07-18,10000031502,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80525D,04-02-19,Z01,0.000,KG,,04-06-19,Usage decision has been made,A,101,5000233077,Refractive index,1.4225,1.4205,,1.4218,25oC
RB11,03-07-18,10000031502,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80525D,04-02-19,Z01,0.000,KG,,04-06-19,Usage decision has been made,A,101,5000233077,Color,15,0,Pt-Co,2.4,Spectrophotometer
RB11,03-07-18,10000031502,30053-N-BMA,n-Butyl Methacrylate (n-BMA),80525D,04-02-19,Z01,900.000,KG,,04-06-19,Usage decision has been made,A,101,5000233077,Specific Gravity,0.897,0.893,,0.89521,20oC
RB11,03-07-18,10000031508,30037-AAC,Acrylic Acid (AAC),8E08IA,06-02-19,Z01,0.000,KG,,07-05-19,Usage decision has been made,A,101,5000233078,Specific Gravity,999,-999,,1.05241,20oC
RB11,03-07-18,10000031508,30037-AAC,Acrylic Acid (AAC),8E08IA,06-02-19,Z01,0.000,KG,,07-05-19,Usage decision has been made,A,101,5000233078,Water content,0.3,-999,%,0.0395,Karl Fishcher
RB11,03-07-18,10000031508,30037-AAC,Acrylic Acid (AAC),8E08IA,06-02-19,Z01,0.000,KG,,07-05-19,Usage decision has been made,A,101,5000233078,Refractive index,999,-999,,1.4196,25oC
RB11,03-07-18,10000031508,30037-AAC,Acrylic Acid (AAC),8E08IA,06-02-19,Z01,0.000,KG,,07-05-19,Usage decision has been made,A,101,5000233078,Color,20,0,Pt-Co,3.6,Spectrophotometer
RB11,03-07-18,10000031508,30037-AAC,Acrylic Acid (AAC),8E08IA,06-02-19,Z01,"2,100.000",KG,,07-05-19,Usage decision has been made,A,101,5000233078,pH,9999,-999,,3.2,
RB11,03-07-18,10000031510,30032-MAC,Methacrylic Acid (MAc),0423068,30-06-18,Z01,0.000,KG,,28-09-18,Usage decision has been made,A,101,5000233083,Specific Gravity,1.016,1.013,,1.01433,20oC
RB11,03-07-18,10000031510,30032-MAC,Methacrylic Acid (MAc),0423068,30-06-18,Z01,0.000,KG,,28-09-18,Usage decision has been made,A,101,5000233083,Water content,0.1,-999,%,0.0493,Karl Fishcher
RB11,03-07-18,10000031510,30032-MAC,Methacrylic Acid (MAc),0423068,30-06-18,Z01,0.000,KG,,28-09-18,Usage decision has been made,A,101,5000233083,Refractive index,1.4295,1.4285,,1.4291,25oC
RB11,03-07-18,10000031510,30032-MAC,Methacrylic Acid (MAc),0423068,30-06-18,Z01,0.000,KG,,28-09-18,Usage decision has been made,A,101,5000233083,Color,20,0,Pt-Co,1.7,Spectrophotometer
