Plant,Created on,Inspection Lot,Material,Material Description,Batch,Date of Manufacture,Inspection Type,Insp. Lot Quantity,Base unit of measure,Order,SLED/BBD,Material to Which the Quantity is Posted,UD code,Movement Type,Material Document,Short text for the characteristic,Upper tol. limit,Lower tolerance limit,Int. unit/measure.,Original Value,InfoField2
RB11,06-07-18,10000031615,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK020718,02-07-18,Z01,0.000,KG,,30-09-18,Usage decision has been made,A,101,5000233657,Water content,0.1,-999,%,0.057,Karl Fishcher
RB11,06-07-18,10000031615,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK020718,02-07-18,Z01,0.000,KG,,30-09-18,Usage decision has been made,A,101,5000233657,Refractive index,1.3975,1.3955,,1.3974,25oC
RB11,06-07-18,10000031615,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK020718,02-07-18,Z01,0.000,KG,,30-09-18,Usage decision has been made,A,101,5000233657,Color,10,0,Pt-Co,1.5,Spectrophotometer
RB11,06-07-18,10000031615,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK020718,02-07-18,Z01,"9,590.000",KG,,30-09-18,Usage decision has been made,A,101,5000233657,Specific Gravity,0.812,0.808,,0.80963,20oC
RB11,06-07-18,10000031617,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK040718,04-07-18,Z01,0.000,KG,,02-10-18,Usage decision has been made,A,101,5000233658,Water content,0.1,-999,%,0.0496,Karl Fishcher
RB11,06-07-18,10000031617,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK040718,04-07-18,Z01,0.000,KG,,02-10-18,Usage decision has been made,A,101,5000233658,Refractive index,1.3975,1.3955,,1.3973,25oC
RB11,06-07-18,10000031617,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK040718,04-07-18,Z01,0.000,KG,,02-10-18,Usage decision has been made,A,101,5000233658,Color,10,0,Pt-Co,1.2,Spectrophotometer
RB11,06-07-18,10000031617,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK040718,04-07-18,Z01,"9,610.000",KG,,02-10-18,Usage decision has been made,A,101,5000233658,Specific Gravity,0.812,0.808,,0.80961,20oC
RB11,06-07-18,10000031619,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK050718,05-07-18,Z01,0.000,KG,,03-10-18,Usage decision has been made,A,101,5000233659,Water content,0.1,-999,%,0.0446,Karl Fishcher
RB11,06-07-18,10000031619,30004-N-BUOH,n-Butyl Alcohol (n-BuOH),TANK050718,05-07-18,Z01,0.000,KG,,03-10-18,Usage decision has been made,A,101,5000233659,Refractive index,1.3975,1.3955,,1.3973,25oC
