Customer,Customer Name,Agent PO,Invoice No,Invoice Date,PIC Name,period year,Due Date,Rate,Currency,Local Currency Amount,Document Currency code,Document Currency Amount,Document Currency Current,Document Currency 1-30 Days,Document Currency 31-60 Days,Document Currency 61-90 Days,Local Currency Over 90 Days,Sales Document,Trading Partner,Customer Group
BG00013306,บริษัท สีไทยกันไซเพ้นท์ จำกัด,RWK1909-00151,RB15967306,2019-09-17,MS. KULASAB,09/2019,2020-01-15,1.00000,THB,313938.00,THB,313938.00,313938.00,0.00,0.00,0.00,0.00,1000202500,,RB1
BG00014008,บริษัท โฮวา(ไทยแลนด์) จำกัด,HW-M199001/3,RB15967311,2019-09-17,MR.PHASAKORN C.,09/2019,2019-12-01,1.00000,THB,326979.16,THB,326979.16,326979.16,0.00,0.00,0.00,0.00,1000200461,,RB1
BG00014019,บริษัท เอส เค ออโต้ อินทีเรีย,19L21305,RB15967312,2019-09-17,MR. KEAITTICHAI  A.,09/2019,2019-10-31,1.00000,THB,95576.68,THB,95576.68,95576.68,0.00,0.00,0.00,0.00,1000202574,,RB1
BG00013992,บริษัท โยโกฮามา รับเบอร์,PO20190900077,RB15967313,2019-09-17,MR. KEAITTICHAI  A.,09/2019,2019-10-17,1.00000,THB,173484.45,THB,173484.45,173484.45,0.00,0.00,0.00,0.00,1000202043,,RB1
BG00013274,บริษัท โปรแอ็คทีฟ เอ็นเตอร์ไพร,-,RB15967315,2019-09-17,MR. PRAMOTE R.,09/2019,2019-11-16,1.00000,THB,4815.00,THB,4815.00,4815.00,0.00,0.00,0.00,0.00,1000202504,,
BG00013227,บริษัท โทเร เท็กซ์ไทล์(ประเทศไ,PO1909000149,RB15967316,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2019-10-17,1.00000,THB,13910.00,THB,13910.00,13910.00,0.00,0.00,0.00,0.00,1000202451,,
BG00020042,บริษัท เคไอเจ มาร์เก็ตติ้ง จำก,POKIJ191039,RB15967317,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2019-12-16,1.00000,THB,362730.00,THB,362730.00,362730.00,0.00,0.00,0.00,0.00,1000202559,,
BG00013432,บริษัท ควอลิตี้ แพคพริ้นติ้ง 2,PO6209114,RB15967318,2019-09-17,TAKDANAI Y.,09/2019,2019-11-16,1.00000,THB,298144.80,THB,298144.80,298144.80,0.00,0.00,0.00,0.00,1000202538,,RB1
BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,PO19RM679-09,RB15967319,2019-09-17,MR. PRAMOTE R.,09/2019,2019-10-17,1.00000,THB,49220.00,THB,49220.00,49220.00,0.00,0.00,0.00,0.00,1000202505,,RB1
BG00013429,บริษัท ลิกซิล (ประเทศไทย) จำกั,5300123779,RB15967320,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2019-11-16,1.00000,THB,74151.00,THB,74151.00,74151.00,0.00,0.00,0.00,0.00,1000202466,,RB1
BG00013100,บริษัท ไทยเรยอน จำกัด (มหาชน),9220101878,RB15967321,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2019-10-17,1.00000,THB,41344.80,THB,41344.80,41344.80,0.00,0.00,0.00,0.00,1000201853,,RB1
BG00013070,บริษัท สหไทยอุตสาหกรรมแผ่นกั้น,DM-PM1909005,RB15967322,2019-09-17,MR. PRAMOTE R.,09/2019,2019-12-16,1.00000,THB,77425.20,THB,77425.20,77425.20,0.00,0.00,0.00,0.00,1000201125,,RB1
BG00013432,บริษัท ควอลิตี้ แพคพริ้นติ้ง 2,PO6208265,RB15967323,2019-09-17,TAKDANAI Y.,09/2019,2019-11-16,1.00000,THB,30334.50,THB,30334.50,30334.50,0.00,0.00,0.00,0.00,1000201055,,RB1
BG00013583,บริษัท สหไทยใยแก้ว จำกัด,2DM-PM1908002,RB15967324,2019-09-17,MR. PRAMOTE R.,09/2019,2019-12-16,1.00000,THB,359520.00,THB,359520.00,359520.00,0.00,0.00,0.00,0.00,1000200778,,RB1
BG00013065,บริษัท กลุ่มสยามบรรจุภัณฑ์ จำก,6930046502,RB15967325,2019-09-17,MR. PRAMOTE R.,09/2019,2019-12-16,1.00000,THB,208650.00,THB,208650.00,208650.00,0.00,0.00,0.00,0.00,1000202571,,RB1
BG00013325,บริษัท ซีรี่ไบรท์ จำกัด,PO19RM695-09,RB15967326,2019-09-17,MR. PRAMOTE R.,09/2019,2019-10-17,1.00000,THB,24995.20,THB,24995.20,24995.20,0.00,0.00,0.00,0.00,1000202568,,RB1
BG00013175,บริษัท เวิลด์เพ้นท์ จำกัด,01884,RB15967327,2019-09-17,Sathitpong Khongwanglam,09/2019,2019-12-16,1.00000,THB,176550.00,THB,176550.00,176550.00,0.00,0.00,0.00,0.00,1000202567,,RB1
BG00012069,บริษัท เอ็มเค โพลีเอสเตอร์เรซิ,-,RB15967328,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2019-12-16,1.00000,THB,117700.00,THB,117700.00,117700.00,0.00,0.00,0.00,0.00,1000202591,,RB1
BG00013158,บริษัท  เลิศวัฒนกิจ  จำกัด,-,RB15967329,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2020-01-15,1.00000,THB,104485.50,THB,104485.50,104485.50,0.00,0.00,0.00,0.00,1000202584,,RB1
BG00013072,บริษัท  สยามคราฟท์อุตสาหกรรม จ,6930046011,RB15967330,2019-09-17,MR. PRAMOTE R.,09/2019,2019-12-16,1.00000,THB,213465.00,THB,213465.00,213465.00,0.00,0.00,0.00,0.00,1000202606,,RB1
BG00013658,บริษัท ยูนิเวอร์สแพ็ค จำกัด,62/0871,RB15967331,2019-09-17,TAKDANAI Y.,09/2019,2019-11-16,1.00000,THB,100922.40,THB,100922.40,100922.40,0.00,0.00,0.00,0.00,1000202608,,RB1
BG00013004,บริษัท  พลาสติคอน เอเชีย จำกัด,6209034,RB15967332,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2019-12-16,1.00000,THB,112350.00,THB,112350.00,112350.00,0.00,0.00,0.00,0.00,1000202643,,
BG00016443,บริษัท เรซิ่นเอเชีย จำกัด,-,RB15967333,2019-09-17,MS. SUTINA CHONLACHIT,09/2019,2019-11-16,1.00000,THB,120589.00,THB,120589.00,120589.00,0.00,0.00,0.00,0.00,1000202642,,
BG00013073,บริษัท ไท-โย เคมีคอล อินดัสตรี,RMC6201093,RB15967334,2019-09-17,MR. PRAMOTE R.,09/2019,2020-01-15,1.00000,THB,30495.00,THB,30495.00,30495.00,0.00,0.00,0.00,0.00,1000202662,,RB1
BG00013187,ห.จ.ก.ที.สตาร์เคมีคอล,-,RB15967335,2019-09-17,MR. SONGTHAM C.,09/2019,2019-12-16,1.00000,THB,16799.00,THB,16799.00,16799.00,0.00,0.00,0.00,0.00,1000202667,,
BG00013988,บริษัท ซันสตาร์ เคมีคัล,PC201909007,RB15967338,2019-09-17,MS. AUSANEE  S.,09/2019,2019-12-16,1.00000,THB,183278.16,THB,183278.16,183278.16,0.00,0.00,0.00,0.00,1000201770,,RB1
