Plant,Created on,Inspection Lot,Material,Material Description,Batch,Date of Manufacture,Inspection Type,Insp. Lot Quantity,Base unit of measure,Order,SLED/BBD,Material to Which the Quantity is Posted,UD code,Movement Type,Material Document,Short text for the characteristic,Upper tol. limit,Lower tolerance limit,Int. unit/measure.,Original Value,InfoField2
RB11,05-07-18,10000031547,30026-MMA,Methyl Methacrylate (MMA),TANK030718,03-07-18,Z01,0.000,KG,,01-10-18,Usage decision has been made,A,101,5000233334,Water content,0.1,-999,%,0.0195,Karl Fishcher
RB11,05-07-18,10000031547,30026-MMA,Methyl Methacrylate (MMA),TANK030718,03-07-18,Z01,0.000,KG,,01-10-18,Usage decision has been made,A,101,5000233334,Refractive index,1.4125,1.4115,,1.4122,25oC
RB11,05-07-18,10000031547,30026-MMA,Methyl Methacrylate (MMA),TANK030718,03-07-18,Z01,0.000,KG,,01-10-18,Usage decision has been made,A,101,5000233334,Color,15,0,Pt-Co,1.8,Spectrophotometer
RB11,05-07-18,10000031547,30026-MMA,Methyl Methacrylate (MMA),TANK030718,03-07-18,Z01,"12,000.000",KG,,01-10-18,Usage decision has been made,A,101,5000233334,Specific Gravity,0.946,0.942,,0.94341,20oC
RB11,05-07-18,10000031576,30026-MMA,Methyl Methacrylate (MMA),0590478,04-07-18,Z01,0.000,KG,,02-10-18,Usage decision has been made,A,101,5000233432,Water content,0.1,-999,%,0.0402,Karl Fishcher
RB11,05-07-18,10000031576,30026-MMA,Methyl Methacrylate (MMA),0590478,04-07-18,Z01,0.000,KG,,02-10-18,Usage decision has been made,A,101,5000233432,Refractive index,1.4125,1.4115,,1.4122,25oC
RB11,05-07-18,10000031576,30026-MMA,Methyl Methacrylate (MMA),0590478,04-07-18,Z01,0.000,KG,,02-10-18,Usage decision has been made,A,101,5000233432,Color,15,0,Pt-Co,1.9,Spectrophotometer
RB11,05-07-18,10000031576,30026-MMA,Methyl Methacrylate (MMA),0590478,04-07-18,Z01,"1,900.000",KG,,02-10-18,Usage decision has been made,A,101,5000233432,Specific Gravity,0.946,0.942,,0.94344,20oC
RB11,05-07-18,10000031578,30003-MEOH,Methyl Alcohol (MeOH),TANK050718,05-07-18,Z01,0.000,KG,,01-01-19,Usage decision has been made,A,101,5000233433,Water content,0.1,-999,%,0.0895,Karl Fishcher
RB11,05-07-18,10000031578,30003-MEOH,Methyl Alcohol (MeOH),TANK050718,05-07-18,Z01,0.000,KG,,01-01-19,Usage decision has been made,A,101,5000233433,Refractive index,1.327,1.326,,1.3265,25oC
RB11,05-07-18,10000031578,30003-MEOH,Methyl Alcohol (MeOH),TANK050718,05-07-18,Z01,0.000,KG,,01-01-19,Usage decision has been made,A,101,5000233433,Color,3,0,Pt-Co,0.4,Spectrophotometer
RB11,05-07-18,10000031578,30003-MEOH,Methyl Alcohol (MeOH),TANK050718,05-07-18,Z01,"9,980.000",KG,,01-01-19,Usage decision has been made,A,101,5000233433,Specific Gravity,0.793,0.789,,0.79143,20oC
RB11,05-07-18,10000031580,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,0.000,KG,,14-05-19,Usage decision has been made,A,101,5000233434,Water content,0.1,-999,%,0.0126,Karl Fishcher
RB11,05-07-18,10000031580,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,0.000,KG,,14-05-19,Usage decision has been made,A,101,5000233434,Refractive index,1.404,1.403,,1.4037,25oC
RB11,05-07-18,10000031580,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,0.000,KG,,14-05-19,Usage decision has been made,A,101,5000233434,Color,15,0,Pt-Co,2.2,Spectrophotometer
RB11,05-07-18,10000031580,30044-EA,Ethyl Acrylate (EA),8E15IA,15-11-18,Z01,"11,100.000",KG,,14-05-19,Usage decision has been made,A,101,5000233434,Specific Gravity,0.924,0.92,,0.92179,20oC
RB11,05-07-18,10000031583,30025-ST,STYRENE MONOMER (ST),0606SM,06-07-18,Z01,0.000,KG,,04-09-18,Usage decision has been made,A,101,5000233436,Water content,0.05,-999,%,0.0232,Karl Fishcher
RB11,05-07-18,10000031583,30025-ST,STYRENE MONOMER (ST),0606SM,06-07-18,Z01,0.000,KG,,04-09-18,Usage decision has been made,A,101,5000233436,Refractive index,1.5445,1.5435,,1.5442,25oC
